90.4766,38.2659,3.6727,0.2042,0.1048,-47.7558,44.2203,23.7069,0.141,373.654,0
34.2728,12.7234,2.2911,0.445,0.2276,30.5691,-15.9443,9.0394,78.7878,94.4958,1
61.208,29.4298,3.529,0.1618,0.0877,30.4425,54.5215,-22.1264,11.0105,196.652,0
58.6077,18.0167,2.8166,0.2578,0.1335,59.9861,38.1032,8.4731,0.256,241.974,0
63.7085,38.5389,3.3946,0.1165,0.0586,33.4749,51.8604,21.4838,28.387,179.017,0
94.9287,38.566,3.685,0.1181,0.0707,-77.0214,63.3777,22.6826,0.926,284.312,0
62.9629,19.3932,2.9654,0.3649,0.2214,-43.5016,27.367,-21.8587,2.217,318.393,0
100.553,65.1579,4.3492,0.0667,0.0344,-86.2311,73.8915,43.5487,6.602,315.346,0
49.8944,16.6318,2.9122,0.224,0.1255,2.9045,-27.0807,-4.106,23.1963,123.305,1
40.3332,14.9522,2.7279,0.3873,0.2086,46.0558,12.6039,4.996,5.2049,226.711,0
28.3107,19.2751,2.7612,0.3224,0.1742,-8.4561,-25.1654,-14.3171,4.714,249.986,0
23.7276,15.9185,2.7352,0.3579,0.2266,-9.8907,12.64,-7.6601,67.1315,61.9633,1
19.5686,10.9677,2.3222,0.6667,0.35,-14.9882,-17.7184,6.5899,10.9472,165.183,0
21.2283,11.7792,2.3096,0.6471,0.3309,-19.2114,-20.9541,-9.8108,5.0985,129.562,0
37.5684,19.3696,2.633,0.298,0.1548,-15.3336,-23.4659,-11.5457,10.117,173.052,0
75.7318,23.2784,2.9474,0.2585,0.1337,53.2872,66.7149,21.1451,4.6616,219.963,0
31.6946,20.4109,3.0101,0.3234,0.1754,8.5746,-24.5303,6.9856,23.934,131.878,1
33.1934,10.4132,2.772,0.3956,0.2088,-2.7203,17.3502,-6.319,60.397,204.423,1
53.7411,15.5309,2.78,0.2805,0.1419,50.0957,37.6512,-13.0556,26.16,236.574,0
27.3841,16.5037,2.6405,0.4073,0.2254,36.6823,17.1568,-8.2152,16.37,193.038,0
